causality_actor_process_image_path,os_actor_process_image_path,os_actor_process_image_name,action_local_port,action_remote_ip,dst_action_external_hostname,action_remote_port,count_endpoints,is_standard_application,main_domain,main_subdomain,registered_domain
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,50387,142.250.218.10,www.googleapis.com,443.0,1.0,TRUE,googleapis.com,www.googleapis.com,googleapis.com
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,54581,142.250.0.84,accounts.google.com,443.0,1.0,TRUE,google.com,accounts.google.com,google.com
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,56458,52.97.78.146,outlook.live.com,443.0,1.0,TRUE,live.com,outlook.live.com,live.com
/Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/PasswordBreachAgent,/Library/Apple/System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/PasswordBreachAgent,PasswordBreachAgent,59151,23.41.188.23,e673.dsce9.akamaiedge.net,443.0,1.0,TRUE,akamaiedge.net,e673.dsce9.akamaiedge.net,akamaiedge.net
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,56118,142.251.132.238,www.youtube.com,443.0,1.0,TRUE,youtube.com,www.youtube.com,youtube.com
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,52841,142.250.79.202,www.googleapis.com,443.0,1.0,TRUE,googleapis.com,www.googleapis.com,googleapis.com
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking,com.apple.WebKit.Networking,50963,172.217.28.14,www.youtube.com,443.0,1.0,TRUE,youtube.com,www.youtube.com,youtube.com
/System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/Versions/A/com.apple.Safari.SafeBrowsing.Service,/System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/Versions/A/com.apple.Safari.SafeBrowsing.Service,com.apple.Safari.SafeBrowsing.Service,53040,10.101.231.53,No DNS Record found,53.0,1.0,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,63149,1.0.0.1,one.one.one.one,53,1,TRUE,one.one,one.one.one.one,one.one
/System/Applications/Messages.app/Contents/MacOS/Messages,/System/Applications/Messages.app/Contents/MacOS/Messages,Messages,53,192.168.0.1,No DNS Record found,53,5,TRUE,No DNS Record found,No DNS Record found,No DNS Record found
